iter	Passed	Remaining
407	4640	6733
408	4650	6720
409	4662	6708
410	4673	6697
411	4683	6684
412	4697	6676
413	4708	6664
414	4719	6652
415	4730	6641
416	4742	6630
417	4752	6617
418	4763	6605
419	4774	6593
420	4785	6581
421	4796	6570
422	4806	6557
423	4817	6544
424	4828	6532
425	4838	6520
426	4849	6508
427	4860	6495
428	4870	6483
429	4881	6471
430	4891	6458
431	4902	6445
432	4913	6433
433	4923	6421
434	4935	6409
435	4945	6396
436	4957	6387
437	4968	6375
438	4979	6363
439	5005	6370
440	5018	6361
441	5030	6350
442	5041	6338
443	5051	6326
444	5061	6312
445	5073	6301
446	5083	6288
447	5093	6276
448	5103	6263
449	5115	6251
450	5126	6240
451	5137	6228
452	5147	6215
453	5157	6202
454	5167	6189
455	5178	6177
456	5189	6165
457	5199	6153
458	5223	6156
459	5234	6145
460	5245	6133
461	5255	6120
462	5265	6107
463	5276	6095
464	5287	6083
465	5298	6071
466	5309	6059
467	5319	6046
468	5329	6034
469	5341	6022
470	5351	6011
471	5362	5998
472	5373	5987
473	5384	5975
474	5395	5963
475	5405	5950
476	5415	5937
477	5425	5925
478	5436	5913
479	5446	5900
480	5457	5888
481	5468	5876
482	5478	5864
483	5490	5853
484	5500	5840
485	5511	5828
486	5522	5817
487	5533	5805
488	5543	5793
489	5554	5781
490	5565	5769
491	5587	5769
492	5599	5758
493	5610	5747
494	5637	5750
495	5647	5738
496	5657	5725
497	5668	5714
498	5680	5703
499	5692	5692
500	5702	5679
501	5714	5668
502	5724	5656
503	5735	5644
504	5765	5650
505	5782	5645
506	5799	5639
507	5814	5630
508	5826	5620
509	5837	5608
510	5848	5596
511	5857	5583
512	5868	5570
513	5878	5558
514	5889	5546
515	5913	5547
516	5928	5538
517	5942	5529
518	5954	5518
519	5964	5505
520	5975	5493
521	5984	5480
522	5994	5467
523	6005	5454
524	6014	5441
525	6024	5428
526	6056	5436
527	6076	5432
528	6093	5425
529	6106	5415
530	6117	5403
531	6127	5390
532	6136	5376
533	6145	5363
534	6154	5349
535	6164	5336
536	6173	5323
537	6183	5309
538	6193	5297
539	6203	5284
540	6213	5271
541	6222	5258
542	6232	5245
543	6242	5232
544	6252	5219
545	6261	5206
546	6271	5193
547	6296	5193
548	6315	5187
549	6330	5179
550	6344	5169
551	6356	5158
552	6365	5145
553	6375	5132
554	6385	5119
555	6394	5106
556	6425	5110
557	6445	5105
558	6461	5097
559	6475	5087
560	6488	5077
561	6500	5066
562	6510	5053
563	6520	5040
564	6530	5027
565	6540	5014
566	6548	5001
567	6558	4988
568	6569	4975
569	6578	4962
570	6588	4950
571	6599	4937
572	6617	4931
573	6629	4919
574	6640	4907
575	6650	4895
576	6659	4882
577	6669	4869
578	6678	4856
579	6688	4843
580	6698	4830
581	6708	4817
582	6717	4804
583	6727	4792
584	6737	4779
585	6747	4766
586	6757	4754
587	6767	4741
588	6776	4728
589	6786	4715
590	6796	4703
591	6806	4691
592	6817	4679
593	6827	4666
594	6837	4654
595	6852	4644
596	6866	4635
597	6879	4624
598	6890	4612
599	6899	4599
600	6909	4586
601	6918	4574
602	6927	4561
603	6938	4548
604	6948	4536
605	6959	4524
606	6969	4512
607	6979	4499
608	6989	4487
609	6999	4475
610	7009	4462
611	7019	4450
612	7029	4437
613	7039	4425
614	7050	4413
615	7060	4401
616	7071	4389
617	7080	4376
618	7090	4364
619	7100	4351
620	7109	4339
621	7121	4327
622	7132	4316
623	7142	4303
624	7152	4291
625	7161	4278
626	7171	4266
627	7180	4253
628	7211	4253
629	7231	4247
630	7247	4238
631	7262	4229
632	7274	4217
633	7285	4206
634	7296	4193
635	7305	4181
636	7314	4168
637	7324	4155
638	7332	4142
639	7341	4129
640	7352	4117
641	7362	4105
642	7372	4093
643	7381	4080
644	7391	4068
645	7402	4056
646	7412	4044
647	7421	4031
648	7432	4019
649	7442	4007
650	7452	3995
651	7462	3982
652	7473	3971
653	7483	3958
654	7493	3947
655	7503	3934
656	7513	3922
657	7523	3910
658	7533	3898
659	7543	3885
660	7553	3873
661	7562	3861
662	7573	3849
663	7583	3837
664	7592	3825
665	7602	3812
666	7612	3800
667	7622	3788
668	7638	3779
669	7649	3767
670	7659	3755
671	7669	3743
672	7678	3730
673	7687	3718
674	7697	3706
675	7708	3694
676	7719	3682
677	7729	3670
678	7739	3659
679	7749	3646
680	7760	3635
681	7770	3623
682	7781	3611
683	7791	3599
684	7801	3587
685	7810	3575
686	7843	3573
687	7862	3565
688	7879	3556
689	7893	3546
690	7905	3535
691	7917	3523
692	7927	3511
693	7937	3499
694	7946	3487
695	7956	3475
696	7964	3462
697	7973	3450
698	7983	3437
699	7992	3425
700	8001	3413
701	8011	3400
702	8021	3389
703	8032	3377
704	8053	3369
705	8067	3359
706	8079	3348
707	8090	3336
708	8100	3324
709	8109	3312
