iter	RMSE
277	0.9743361806
278	0.9742730696
279	0.9740799226
280	0.9739363988
281	0.9737495573
282	0.9734827736
283	0.9733847994
284	0.9733150766
285	0.973122671
286	0.9730257046
287	0.9728725068
288	0.9727909014
289	0.9726746607
290	0.9724665041
291	0.9722702546
292	0.9719689346
293	0.9717272368
294	0.9715264058
295	0.9713619634
296	0.9711339421
297	0.970947649
298	0.9707980378
299	0.9706049138
300	0.97051159
301	0.9703812337
302	0.9702921404
303	0.9701900214
304	0.9700996125
305	0.9700532148
306	0.9699624055
307	0.9698561712
308	0.9697554076
309	0.9697236604
310	0.9695961754
311	0.9695094876
312	0.9693755986
313	0.9691718783
314	0.9689620978
315	0.9687820515
316	0.9686351544
317	0.9685391115
318	0.9683648865
319	0.9682248962
320	0.9679587992
321	0.9678564103
322	0.9676649271
323	0.9675277231
324	0.9673407033
325	0.9671487148
326	0.9669565772
327	0.9667666527
328	0.9666458159
329	0.9665087859
330	0.9662017169
331	0.9661081737
332	0.9660042959
333	0.9658593551
334	0.9657390684
335	0.9656462453
336	0.9654701646
337	0.9653796811
338	0.9651639651
339	0.9649791689
340	0.9648271457
341	0.9646941636
342	0.9646072569
343	0.9645009302
344	0.9644172987
345	0.9642238473
346	0.9641007657
347	0.9639007773
348	0.9638211897
349	0.9636311536
350	0.9635390203
351	0.9634320618
352	0.9633302615
353	0.9630956496
354	0.9630305335
355	0.9628743986
356	0.9626001319
357	0.9624978828
358	0.9624173752
359	0.9622571092
360	0.9621352719
361	0.9619746755
362	0.9618935553
363	0.9617162366
364	0.9615764679
365	0.9614620273
366	0.961388304
367	0.9612395937
368	0.9610490909
369	0.9609967684
370	0.9608780425
371	0.9607396885
372	0.9606499064
373	0.9605668576
374	0.9604076387
375	0.9603387243
376	0.9602806254
377	0.9601394765
378	0.9600651485
379	0.9599792422
380	0.9598320139
381	0.959727288
382	0.9596000925
383	0.9595281958
384	0.9593097856
385	0.9592900169
386	0.9592692438
387	0.9591277096
388	0.9589453451
389	0.9587295135
390	0.9585939143
391	0.9584851631
392	0.9583838296
393	0.95821556
394	0.9580485485
395	0.9579385391
396	0.9578474418
397	0.9578382745
398	0.9576848276
399	0.9574351059
400	0.95731368
401	0.9571876508
402	0.9568980845
403	0.9567906225
404	0.9565824425
405	0.9564471685
406	0.9562855936
407	0.9561498089
408	0.9560063116
409	0.9558607215
410	0.95576503
411	0.9556598766
412	0.9554913782
413	0.9552866763
414	0.9551301534
415	0.9549890108
416	0.9547676325
417	0.9546426554
418	0.9545684486
419	0.9545193178
420	0.9544420891
421	0.954240814
422	0.9541796528
423	0.9540643387
424	0.9539019119
425	0.9536637661
426	0.9535121644
427	0.9534162575
428	0.9532925478
429	0.9531420229
430	0.9530679702
431	0.9529127289
432	0.9527941667
433	0.9527002432
434	0.9525236708
435	0.9524411535
436	0.952355744
437	0.9522534309
438	0.9520745355
439	0.9519937205
440	0.9518475462
441	0.9517678937
442	0.951619439
443	0.9514379862
444	0.9513924092
445	0.9512802772
446	0.9510876861
447	0.9510160546
448	0.9509527116
449	0.9507892807
450	0.9506602835
451	0.9505515298
452	0.9504151127
453	0.9503031849
454	0.9502376672
455	0.9501346594
456	0.9500309416
457	0.9498527764
458	0.9497043496
459	0.9495741984
460	0.9494682497
461	0.9493577387
462	0.9492468758
463	0.949173167
464	0.9490209984
465	0.9489044765
466	0.948686144
467	0.9486016477
468	0.9484823598
469	0.9484054162
470	0.9482914573
471	0.9481013158
472	0.947933461
473	0.9477111197
474	0.94758961
475	0.9474933189
476	0.9473982858
477	0.9472271271
478	0.947129162
479	0.9469819665
480	0.9468565566
481	0.9466823315
482	0.9464862326
483	0.9463174363
484	0.9462199888
485	0.9461759824
486	0.9460669856
487	0.945916499
488	0.9458103981
489	0.9456088302
490	0.9454801026
491	0.945400307
492	0.9452371919
493	0.9451008605
494	0.9449495083
495	0.9448478562
496	0.9447264468
497	0.9446466496
498	0.9445373734
499	0.9443815196
500	0.9442753805
501	0.9440697096
502	0.9440206824
503	0.9438929001
504	0.9437632049
505	0.9436382867
506	0.9436131148
507	0.9435234901
508	0.9432422639
509	0.9431494805
510	0.9429914021
511	0.9428469913
512	0.9426835182
513	0.9425586934
514	0.9424430183
515	0.9423489339
516	0.942225018
517	0.9420460912
518	0.9419756069
519	0.9418027197
520	0.9416670721
521	0.9416035702
522	0.9415446513
523	0.9413594816
524	0.9412498887
525	0.9411234114
526	0.9410407721
527	0.9409646136
528	0.9408609307
529	0.9407525716
530	0.9406499064
531	0.9405460562
532	0.9404635853
533	0.9403845845
534	0.9403026494
535	0.9401531189
536	0.9400445644
537	0.9399784883
538	0.939795998
539	0.9396529891
540	0.9395030674
541	0.9393304538
542	0.93912949
543	0.9390242013
544	0.9389171242
545	0.9387856135
546	0.9386978118
547	0.938556652
548	0.9384840026
549	0.9384267128
550	0.9383166336
551	0.9381525226
552	0.9381500064
553	0.9380669874
554	0.9380003464
555	0.937874319
556	0.9378624851
557	0.9378199542
558	0.9377375923
559	0.9377245367
560	0.9376029939
561	0.9375718601
562	0.9374713873
563	0.9373425596
564	0.9371782463
565	0.9370475767
566	0.9369976264
567	0.9368511819
568	0.9366606757
569	0.9365693755
570	0.936472779
571	0.9363158243
572	0.936144121
573	0.9360428036
574	0.9358188661
575	0.9356746501
576	0.9356146117
577	0.935462456
578	0.9353867913
579	0.9352998854
580	0.9351821112
581	0.934987824
582	0.9348776888
583	0.9347199877
584	0.9345560031
585	0.9344829564
586	0.9343761128
587	0.9342930196
588	0.9342198131
589	0.9341041682
590	0.9339738825
591	0.9338372982
592	0.9336002189
593	0.9334892734
594	0.9333731296
595	0.9332935762
596	0.9331728584
597	0.9330068028
598	0.9329490775
599	0.932892525
600	0.9328110984
601	0.9326790768
602	0.932610929
603	0.9323420726
604	0.9322135886
605	0.9320907317
606	0.9319707533
607	0.9318716286
608	0.9316668531
609	0.9315501059
610	0.9313865558
611	0.9313153268
612	0.9311457676
613	0.9310235177
614	0.9308044919
615	0.9307351775
616	0.9305142713
617	0.9304464038
618	0.9303887637
619	0.9302630159
620	0.9302033482
621	0.930148886
622	0.9300719316
623	0.9300088764
624	0.929859647
625	0.9298098689
626	0.9297301979
627	0.9296053872
628	0.9294563528
629	0.9292911322
630	0.9292387314
631	0.9290403575
632	0.9289473967
633	0.9288333962
634	0.9287050737
635	0.9285955821
636	0.9285269748
637	0.9284667749
638	0.9283869246
639	0.9283111427
640	0.9281631969
641	0.9280518367
642	0.9279864498
643	0.9279662723
644	0.9278110854
645	0.9276065565
646	0.9274798206
647	0.9273725519
648	0.9271923907
649	0.9270503465
650	0.9269299192
651	0.9268860295
652	0.9267781897
653	0.9265933085
654	0.9264797991
655	0.9263687814
656	0.9262599322
657	0.9261884994
658	0.9261216052
659	0.9260378843
660	0.9259514427
661	0.9258803899
662	0.9256568421
663	0.9255913111
664	0.9254706324
665	0.9253982867
666	0.9253179191
667	0.9251761394
668	0.9250307637
669	0.9249466063
670	0.9247864146
671	0.9245793038
672	0.9244984975
673	0.924422866
674	0.9242874116
675	0.9241979744
676	0.9240067146
677	0.9239436468
678	0.9237813824
679	0.9237284589
680	0.9236413436
681	0.923547694
682	0.9233453747
683	0.9231666425
684	0.9231180018
685	0.923071278
686	0.922941252
687	0.9228333517
688	0.9227171721
689	0.9226440885
690	0.9225880999
691	0.9224822552
692	0.9223914085
693	0.9223254666
694	0.9222879195
695	0.9222152333
696	0.9222029625
697	0.9221326931
698	0.9220455154
699	0.9219073097
700	0.9218142014
701	0.9217390843
702	0.9216209643
703	0.9215562664
704	0.9214535438
705	0.9213730171
706	0.9213233543
707	0.9212146081
708	0.921123188
709	0.9210492232
